mid_decile,spread_cents,n,avg_bid_size,avg_ask_size
6,25,106,266.3490566037736,90.9188679245283
6,26,3,32.0,85.24666666666666
6,27,369,299.1951219512195,88.06233062330624
6,28,12,101.91666666666667,40.0
6,29,358,88.68156424581005,5.407709497206704
6,30,17,5.529411764705882,2.4188235294117644
6,31,85,151.84176470588235,20.444470588235294
6,32,3,217.33333333333334,469.19666666666666
6,33,2,26.0,291.5
6,35,7,1.2142857142857142,5316.0
6,39,1,40.0,37.0
6,40,3,31.666666666666668,76.33333333333333
6,41,2,72.0,100.79
6,43,4,548.0,17.5425
6,44,360,694.0,46.58
6,46,83,34.69879518072289,94.81927710843374
6,47,17,40.88235294117647,336.5882352941176
6,48,64,0.378125,286.671875
6,49,794,0.7188916876574307,811.2921914357682
6,51,144,5.65,2.79
6,53,1,20.0,250.0
6,54,1,263.0,7.0
6,55,1,20.0,250.0
6,56,1,58.0,5000.0
6,57,4,101.25,2520.75
6,58,4,98.575,1253.535
6,59,5,81.4,4050.0
6,60,164,212.87048780487805,504.969512195122
6,61,16,136.0,335.125
6,62,6,160.83333333333334,844.6666666666666
6,63,52,222.19230769230768,828.0961538461538
6,64,9,149.63555555555556,2782.1111111111113
6,65,11,129.1818181818182,978.2727272727273
6,66,16,315.8125,3453.186875
6,67,194,171.59278350515464,804.7422680412371
6,68,140,246.45,505.59285714285716
6,69,11,396.6363636363636,2273.2727272727275
6,70,4,2612.75,3751.75
6,72,2,1814.5,2502.5
6,73,1,500.0,5500.0
6,78,5,29.2,2448.0
7,1,58339,2375.934104458424,2515.69256226538
7,2,35765,2085.36019152803,2340.3411295959736
7,3,21272,1954.3208226776983,1965.139006675442
7,4,7653,1275.0382947863584,1496.6166535998955
7,5,3315,948.5491523378582,1149.9484494720964
7,6,2484,511.39644524959743,753.1203502415459
7,7,2076,616.2277842003853,1048.638675337187
7,8,1333,917.6339159789948,1615.7135783945987
7,9,1024,1636.001923828125,3116.953603515625
7,10,649,929.6056702619413,3573.372419106318
7,11,214,1220.8200467289719,3609.5092990654207
7,12,71,1071.7454929577464,3972.5450704225354
7,13,37,4327.762162162163,4346.87945945946
7,14,364,22.27747252747253,103.92552197802198
7,15,6,120.33333333333333,49.80166666666667
7,16,6,1850.8333333333333,868.6833333333334
7,17,4,280.75,101.275
7,18,7,110.0,24.52857142857143
7,19,4,141.25,235.635
7,20,2,2502.5,2507.5
